Genere Anni Matematica Italiano Logica Test Totale CDL 
F 19 14.69 26.24 13.37 54.31 70.324 "ECONOMIA E FINANZA"
M 20 27.12 18.69 28.01 73.83 70.332 "MARKETING E GEST. IMPRESE"
F 19 26.68 10.69 24.47 61.84 70.336 "CONSULENZA AZ.LE E GIURIDICA"
F 19 20.91 14.27 17.81 52.99 70.396 "ECONOMIA E FINANZA"
F 19 11.15 8.93 12.04 32.12 70.448 "ECONOMIA E FINANZA"
M 19 22.69 20.03 20.92 63.64 70.456 "MARKETING E GEST. IMPRESE"
M 19 15.15 12.05 24.47 51.67 70.468 ECONOMIA
M 19 16.92 15.15 22.69 54.76 70.504 "ECONOMIA AZIENDALE"
M 19 22.68 24.01 15.57 62.27 70.508 ECONOMIA
M 19 14.27 18.25 17.81 50.33 70.532 "ECONOMIA E FINANZA"
F 19 12.48 6.27 19.59 38.33 70.532 "MARKETING E GEST. IMPRESE"
M 19 9.37 12.01 20.03 41.41 70.564 "ECONOMIA AZIENDALE"
M 19 21.79 18.68 20.47 60.93 70.572 "AMMINISTRAZIONE E CONTROLLO"
F 19 13.36 17.81 17.8 48.97 70.588 "MARKETING E GEST. IMPRESE"
F 19 17.8 16.47 22.24 56.51 70.604 "MARKETING E GEST. IMPRESE"
F 19 16.91 17.81 21.8 56.52 70.608 ECONOMIA
M 20 24.91 15.13 19.57 59.61 70.644 "MARKETING E GEST. IMPRESE"
F 19 24.01 23.13 20.03 67.17 70.668 "MARKETING E GEST. IMPRESE"
F 39 19.12 5.79 1.81 26.72 70.688 "CONSULENZA AZ.LE E GIURIDICA"
F 19 18.23 15.13 20.47 53.83 70.732 "CONSULENZA AZ.LE E GIURIDICA"
F 20 14.25 17.37 5.79 37.41 70.764 "ECONOMIA E FINANZA"
F 20 14.25 17.37 5.79 37.41 70.764 "ECONOMIA GEST. SERV. TURISTICI"
F 19 24.47 24.47 26.24 75.17 70.868 "ECONOMIA AZIENDALE"
F 19 12.47 13.83 8.48 34.77 70.908 "MARKETING E GEST. IMPRESE"
F 19 20.92 3.57 29.79 54.28 70.912 "ECONOMIA AZIENDALE"
M 19 15.13 13.35 13.81 42.29 70.916 "AMMINISTRAZIONE E CONTROLLO"
M 19 14.68 12.49 22.69 49.87 70.948 "CONSULENZA AZ.LE E GIURIDICA"
M 32 16.92 19.15 9.35 45.41 70.964 "ECONOMIA GEST. SERV. TURISTICI"
M 19 29.79 18.25 24.47 72.51 71.004 "MARKETING E GEST. IMPRESE"
F 19 17.79 16.91 21.35 56.04 71.016 "CONSULENZA AZ.LE E GIURIDICA"
F 19 21.8 16.03 18.25 56.08 71.032 "ECONOMIA E FINANZA"
M 19 24.01 20.03 27.12 71.16 71.064 ECONOMIA
F 19 17.79 6.68 18.23 42.69 71.076 "ECONOMIA AZIENDALE"
F 19 15.59 19.59 24.01 59.19 71.076 "MARKETING E GEST. IMPRESE"
F 19 20.03 16.92 10.27 47.21 71.084 "MARKETING E GEST. IMPRESE"
F 19 16 15.15 23.57 54.72 71.088 "MARKETING E GEST. IMPRESE"
F 19 5.4 10.28 22.69 38.37 71.148 "MARKETING E GEST. IMPRESE"
F 19 28.89 18.23 25.79 72.91 71.164 "ECONOMIA AZIENDALE"
M 19 19.57 22.69 26.24 68.51 71.204 "MARKETING E GEST. IMPRESE"
M 18 26.68 21.8 27.56 76.04 71.216 "ECONOMIA AZIENDALE"
F 19 21.33 16.92 16.91 55.16 71.264 "AMMINISTRAZIONE E CONTROLLO"
M 19 23.12 22.24 23.57 68.93 71.372 "ECONOMIA AZIENDALE"
F 19 15.13 12.47 17.36 44.96 71.384 "CONSULENZA AZ.LE E GIURIDICA"
F 19 8.01 16.03 16.47 40.51 71.404 "MARKETING E GEST. IMPRESE"
F 19 20.91 12.45 13.35 46.71 71.484 "ECONOMIA AZIENDALE"
M 19 24.47 16.04 21.36 61.87 71.548 "MARKETING E GEST. IMPRESE"
F 19 13.37 15.6 20.92 49.89 71.556 "MARKETING E GEST. IMPRESE"
M 19 14.68 18.24 23.12 56.04 71.616 "MARKETING E GEST. IMPRESE"
F 19 12.91 15.13 16.03 44.07 71.628 "AMMINISTRAZIONE E CONTROLLO"
M 19 13.8 7.56 21.36 42.72 71.688 "ECONOMIA E FINANZA"
M 19 14.25 6.72 14.25 35.23 71.692 "ECONOMIA GEST. SERV. TURISTICI"
F 19 23.13 15.6 23.57 62.31 71.724 "MARKETING E GEST. IMPRESE"
F 19 26.68 16.03 25.79 68.49 71.796 "MARKETING E GEST. IMPRESE"
F 21 24.01 25.79 26.23 76.03 71.812 "CONSULENZA AZ.LE E GIURIDICA"
M 19 15.15 16.04 20.91 52.09 71.836 "MARKETING E GEST. IMPRESE"
F 19 21.35 18.25 20.03 59.63 71.852 "ECONOMIA E FINANZA"
M 19 28.45 16.01 22.69 67.16 71.864 "MARKETING E GEST. IMPRESE"
M 19 22.24 18.68 24.89 65.81 71.924 "ECONOMIA AZIENDALE"
M 19 20.91 22.24 22.69 65.84 71.936 "ECONOMIA E FINANZA"
F 19 19.13 16.04 21.8 56.97 71.988 "ECONOMIA E FINANZA"
F 19 24.89 18.24 24.45 67.59 72.036 "MARKETING E GEST. IMPRESE"
M 20 26.68 27.56 25.35 79.59 72.036 "MARKETING E GEST. IMPRESE"
M 19 28.45 16.92 25.35 70.72 72.088 "MARKETING E GEST. IMPRESE"
F 19 26.68 23.13 20.92 70.73 72.092 "CONSULENZA AZ.LE E GIURIDICA"
F 19 15.59 8.03 18.69 42.31 72.124 "ECONOMIA AZIENDALE"
M 19 24.01 14.25 19.15 57.41 72.164 "ECONOMIA AZIENDALE"
F 19 14.69 20.91 12.93 48.53 72.212 "MARKETING E GEST. IMPRESE"
F 26 20.47 7.15 7.61 35.23 72.292 "ECONOMIA E FINANZA"
F 19 15.59 1.36 13.81 30.76 72.304 "MARKETING E GEST. IMPRESE"
M 20 26.23 17.35 18.69 62.27 72.308 "MARKETING E GEST. IMPRESE"
F 19 16.47 7.13 14.71 38.31 72.324 "ECONOMIA E FINANZA"
F 19 21.36 20.92 23.13 65.41 72.364 "ECONOMIA AZIENDALE"
M 19 26.23 11.12 23.57 60.92 72.368 "ECONOMIA E FINANZA"
M 20 26.24 10.25 24.47 60.96 72.384 "MARKETING E GEST. IMPRESE"
M 20 26.24 20.01 17.81 64.07 72.428 "ECONOMIA GEST. SERV. TURISTICI"
F 19 21.36 7.6 17.37 46.33 72.532 "MARKETING E GEST. IMPRESE"
F 23 12.47 28.01 8.95 49.43 72.572 "ECONOMIA GEST. SERV. TURISTICI"
F 19 14.69 23.13 19.13 56.96 72.584 "ECONOMIA AZIENDALE"
F 19 17.35 23.13 24.01 64.49 72.596 "CONSULENZA AZ.LE E GIURIDICA"
M 19 24.91 18.25 20.03 63.19 72.676 ECONOMIA
M 19 20.03 15.6 11.16 46.79 72.716 "ECONOMIA E FINANZA"
F 19 19.57 16.92 22.69 59.19 72.876 "MARKETING E GEST. IMPRESE"
F 19 21.8 21.8 18.69 62.29 72.916 "CONSULENZA AZ.LE E GIURIDICA"
M 19 17.81 22.24 17.81 57.87 72.948 ECONOMIA
M 21 25.35 17.36 24.45 67.16 73.064 "ECONOMIA E FINANZA"
F 19 22.24 11.57 9.36 43.17 73.068 "ECONOMIA AZIENDALE"
F 19 23.13 14.24 17.81 55.19 73.076 "ECONOMIA AZIENDALE"
M 19 30.23 16.47 23.57 70.27 73.108 "ECONOMIA AZIENDALE"
M 20 13.79 17.79 20.89 52.47 73.188 "MARKETING E GEST. IMPRESE"
F 19 28.89 20.01 15.59 64.49 73.196 "ECONOMIA AZIENDALE"
M 19 15.59 6.24 18.69 40.52 73.208 "ECONOMIA E FINANZA"
M 19 17.35 17.8 16.03 51.17 73.268 "MARKETING E GEST. IMPRESE"
M 19 30.23 11.59 24.45 66.27 73.308 "CONSULENZA AZ.LE E GIURIDICA"
M 19 30.23 11.59 24.45 66.27 73.308 "ECONOMIA GEST. SERV. TURISTICI"
F 19 21.35 16.01 20.01 57.37 73.348 "ECONOMIA AZIENDALE"
M 19 25.79 23.13 20.47 69.39 73.356 "CONSULENZA AZ.LE E GIURIDICA"
F 21 14.27 13.83 17.37 45.47 73.388 "ECONOMIA GEST. SERV. TURISTICI"
M 24 30.67 13.35 22.69 66.71 73.484 "MARKETING E GEST. IMPRESE"
M 19 20.45 19.57 14.71 54.73 73.492 "AMMINISTRAZIONE E CONTROLLO"
F 19 15.12 10.69 18.68 44.49 73.596 "MARKETING E GEST. IMPRESE"
M 19 20.01 11.59 20.47 52.07 73.628 "MARKETING E GEST. IMPRESE"
F 19 7.61 16.04 20.92 44.57 73.628 "MARKETING E GEST. IMPRESE"
M 20 16.45 8.45 25.79 50.69 73.676 "MARKETING E GEST. IMPRESE"
M 20 31.56 20.92 29.79 82.27 73.708 "MARKETING E GEST. IMPRESE"
F 19 18.68 6.69 8.92 34.29 73.716 "MARKETING E GEST. IMPRESE"
F 19 18.24 5.37 10.69 34.31 73.724 "ECONOMIA E FINANZA"
F 19 16.48 20.92 20.92 58.32 73.728 "MARKETING E GEST. IMPRESE"
M 19 13.81 17.81 10.27 41.89 73.756 "ECONOMIA AZIENDALE"
F 19 20.89 3.6 12.92 37.41 73.764 "ECONOMIA AZIENDALE"
F 19 16.01 20.03 20.92 56.96 73.784 "ECONOMIA E FINANZA"
M 19 11.15 13.36 20.47 44.97 73.788 "ECONOMIA E FINANZA"
F 19 19.57 17.79 15.13 52.49 73.796 "ECONOMIA AZIENDALE"
M 19 20.92 19.15 26.24 66.31 73.924 ECONOMIA
F 19 23.13 24.91 20.03 68.07 74.028 "ECONOMIA AZIENDALE"
M 19 19.57 14.24 25.35 59.16 74.064 "AMMINISTRAZIONE E CONTROLLO"
F 19 24.91 21.36 24.91 71.17 74.068 "MARKETING E GEST. IMPRESE"
F 22 17.35 12.04 20.92 50.31 74.124 "MARKETING E GEST. IMPRESE"
F 22 17.35 12.04 20.92 50.31 74.124 "ECONOMIA GEST. SERV. TURISTICI"
F 19 13.79 15.57 19.57 48.93 74.172 "ECONOMIA AZIENDALE"
F 20 11.12 21.36 16.48 48.96 74.184 "ECONOMIA GEST. SERV. TURISTICI"
F 19 24.01 19.59 22.24 65.84 74.336 "MARKETING E GEST. IMPRESE"
F 19 17.81 12.92 18.69 49.43 74.372 "ECONOMIA AZIENDALE"
M 18 19.59 16.91 20.47 56.96 74.384 "ECONOMIA AZIENDALE"
M 19 32 9.35 23.12 64.47 74.388 ECONOMIA
M 19 15.59 15.15 5.4 36.13 74.452 "ECONOMIA AZIENDALE"
F 19 21.35 8.01 9.8 39.16 74.464 "ECONOMIA E FINANZA"
M 19 20.47 8.48 17.81 46.76 74.504 "ECONOMIA GEST. SERV. TURISTICI"
M 19 31.56 22.24 24.47 78.27 74.508 "MARKETING E GEST. IMPRESE"
M 19 28.45 18.68 26.68 73.81 74.524 "ECONOMIA E FINANZA"
M 44 28 20.91 24.91 73.81 74.524 ECONOMIA
F 20 12.45 22.69 14.68 49.83 74.532 "ECONOMIA GEST. SERV. TURISTICI"
M 19 16.04 10.72 15.6 42.36 74.544 "ECONOMIA AZIENDALE"
F 19 20.01 16.04 8.05 44.11 74.644 "ECONOMIA GEST. SERV. TURISTICI"
F 19 17.35 14.27 20.03 51.64 74.656 "ECONOMIA E FINANZA"
F 19 16.47 14.27 16.48 47.21 74.684 "MARKETING E GEST. IMPRESE"
F 19 16.47 14.27 16.48 47.21 74.684 "ECONOMIA GEST. SERV. TURISTICI"
F 20 24.91 16.92 24.91 66.73 74.692 "ECONOMIA E FINANZA"
M 19 27.56 12.91 20.47 60.93 74.772 "ECONOMIA E FINANZA"
M 19 26.68 22.24 24.01 72.93 74.772 "ECONOMIA AZIENDALE"
F 19 20.03 24.91 23.57 68.51 74.804 "ECONOMIA AZIENDALE"
F 19 25.79 16.91 21.35 64.04 74.816 ECONOMIA
F 19 12.03 12.49 15.59 40.11 74.844 "ECONOMIA E FINANZA"
F 19 19.56 22.69 20.47 62.72 74.888 "ECONOMIA E FINANZA"
F 19 31.56 27.12 26.68 85.36 74.944 "ECONOMIA AZIENDALE"
F 19 27.56 15.59 25.79 68.93 74.972 "ECONOMIA AZIENDALE"
M 19 20.89 16.03 15.59 52.51 75.004 "MARKETING E GEST. IMPRESE"
F 19 19.13 11.6 17.36 48.09 75.036 "ECONOMIA AZIENDALE"
F 19 22.69 20.92 22.69 66.31 75.124 "MARKETING E GEST. IMPRESE"
F 19 22.69 20.92 22.69 66.31 75.124 "ECONOMIA GEST. SERV. TURISTICI"
F 19 18.24 15.12 16.48 49.84 75.136 ECONOMIA
M 20 24.91 14.24 30.23 69.37 75.148 "ECONOMIA E FINANZA"
F 19 16.03 14.25 22.69 52.97 75.188 "MARKETING E GEST. IMPRESE"
F 19 8.95 22.69 13.83 45.47 75.188 "ECONOMIA AZIENDALE"
M 19 28.89 22.24 27.56 78.69 75.276 "ECONOMIA E FINANZA"
F 19 18.24 11.16 17.81 47.21 75.284 "ECONOMIA AZIENDALE"
F 19 17.36 15.6 12.91 45.87 75.348 "AMMINISTRAZIONE E CONTROLLO"
M 19 27.12 17.36 20.91 65.39 75.356 "MARKETING E GEST. IMPRESE"
M 24 19.12 15.13 26.68 60.93 75.372 "ECONOMIA AZIENDALE"
F 19 23.56 20.03 14.69 58.28 75.512 "MARKETING E GEST. IMPRESE"
F 19 23.57 20.03 26.68 70.28 75.512 "ECONOMIA GEST. SERV. TURISTICI"
M 19 27.12 4.91 21.79 53.81 75.524 "MARKETING E GEST. IMPRESE"
F 19 28.45 20.91 27.12 76.48 75.592 ECONOMIA
F 19 30.23 24.91 21.36 76.49 75.596 "ECONOMIA E FINANZA"
F 19 20.91 22.24 21.36 64.51 75.604 "MARKETING E GEST. IMPRESE"
F 19 24.01 21.36 19.13 64.51 75.604 ECONOMIA
F 19 10.23 20.92 15.59 46.73 75.692 "ECONOMIA GEST. SERV. TURISTICI"
M 19 25.79 19.13 28.89 73.81 75.724 "ECONOMIA AZIENDALE"
F 33 7.56 20.03 20.89 48.48 75.792 "ECONOMIA GEST. SERV. TURISTICI"
F 19 23.13 19.15 18.25 60.53 75.812 "ECONOMIA AZIENDALE"
M 19 27.56 15.12 28.45 71.13 75.852 "MARKETING E GEST. IMPRESE"
F 19 15.59 20.92 18.25 54.76 75.904 "AMMINISTRAZIONE E CONTROLLO"
M 19 18.69 17.36 16.04 52.09 76.036 "MARKETING E GEST. IMPRESE"
F 19 12.04 14.27 13.83 40.13 76.052 "MARKETING E GEST. IMPRESE"
M 19 32 8.45 22.23 62.68 76.072 "ECONOMIA AZIENDALE"
F 19 16.03 19.13 15.6 50.76 76.104 "ECONOMIA AZIENDALE"
M 19 22.68 23.12 27.56 73.36 76.144 ECONOMIA
F 21 24.45 4.91 18.68 48.04 76.216 "ECONOMIA AZIENDALE"
F 20 15.57 16.48 23.56 55.61 76.244 "ECONOMIA AZIENDALE"
F 19 20.03 21.36 14.24 55.63 76.252 "ECONOMIA AZIENDALE"
F 19 20.92 15.6 19.15 55.67 76.268 ECONOMIA
M 19 17.37 20.92 17.37 55.67 76.268 "ECONOMIA AZIENDALE"
M 19 26.68 18.25 18.24 63.17 76.268 ECONOMIA
F 19 19.13 12.92 20.91 52.96 76.384 "MARKETING E GEST. IMPRESE"
F 19 26.24 17.37 21.36 64.97 76.388 "MARKETING E GEST. IMPRESE"
F 19 22.68 20.91 24.45 68.04 76.416 "MARKETING E GEST. IMPRESE"
F 19 16.91 23.12 11.59 51.61 76.444 "ECONOMIA E FINANZA"
F 19 28.45 16.48 26.23 71.16 76.464 ECONOMIA
M 19 20.89 16.03 13.37 50.29 76.516 "ECONOMIA AZIENDALE"
F 19 23.13 21.8 17.37 62.31 76.524 "ECONOMIA E FINANZA"
F 19 18.25 17.37 17.81 53.44 76.576 "ECONOMIA AZIENDALE"
F 19 22.24 16.92 28.01 67.17 76.668 "ECONOMIA AZIENDALE"
F 19 24.01 28.89 24.91 77.81 76.724 "ECONOMIA AZIENDALE"
F 19 12.03 16.48 17.81 46.32 76.728 "MARKETING E GEST. IMPRESE"
M 19 20.45 17.8 15.59 53.84 76.736 "MARKETING E GEST. IMPRESE"
F 19 13.37 14.71 13.81 41.89 76.756 "ECONOMIA E FINANZA"
F 19 16.01 12.91 13.35 42.27 76.908 ECONOMIA
F 19 20.01 13.8 20.47 54.28 76.912 "ECONOMIA E FINANZA"
F 19 28.45 16.01 24.91 69.37 76.948 "AMMINISTRAZIONE E CONTROLLO"
F 19 23.12 22.24 9.36 54.72 77.088 "ECONOMIA E FINANZA"
M 19 12.03 23.57 22.24 57.84 77.136 "ECONOMIA E FINANZA"
F 19 28.45 13.83 15.6 57.88 77.152 "MARKETING E GEST. IMPRESE"
F 19 28.45 13.83 15.6 57.88 77.152 "ECONOMIA GEST. SERV. TURISTICI"
M 19 26.23 8.89 21.35 56.47 77.188 "ECONOMIA GEST. SERV. TURISTICI"
F 19 23.56 24.45 23.56 71.57 77.228 "MARKETING E GEST. IMPRESE"
F 19 26.24 19.57 21.36 67.17 77.268 "ECONOMIA AZIENDALE"
F 19 17.81 6.28 23.57 47.67 77.268 "ECONOMIA E FINANZA"
M 19 21.36 15.59 18.24 55.19 77.276 "MARKETING E GEST. IMPRESE"
F 19 26.68 19.15 24.45 70.28 77.312 "MARKETING E GEST. IMPRESE"
M 19 22.68 19.13 16.47 58.28 77.312 "ECONOMIA AZIENDALE"
F 19 22.68 18.24 20.47 61.39 77.356 "MARKETING E GEST. IMPRESE"
M 19 26.24 19.15 26.68 72.07 77.428 "ECONOMIA AZIENDALE"
F 19 17.8 16.47 13.83 48.09 77.436 "AMMINISTRAZIONE E CONTROLLO"
M 19 20.47 20.03 7.6 48.09 77.436 "ECONOMIA AZIENDALE"
F 19 12.04 22.24 9.33 43.61 77.444 "ECONOMIA GEST. SERV. TURISTICI"
M 19 28.45 12.48 25.35 66.28 77.512 "ECONOMIA AZIENDALE"
F 19 25.35 26.68 20.47 72.49 77.596 "AMMINISTRAZIONE E CONTROLLO"
F 19 22.23 26.23 22.68 71.13 77.652 "MARKETING E GEST. IMPRESE"
F 19 16.03 12.47 23.13 51.63 77.652 "ECONOMIA AZIENDALE"
F 19 21.35 12.04 13.83 47.21 77.684 "MARKETING E GEST. IMPRESE"
F 19 20.47 20.91 28.45 69.83 77.732 "AMMINISTRAZIONE E CONTROLLO"
F 19 17.35 5.35 21.79 44.48 77.792 "ECONOMIA GEST. SERV. TURISTICI"
M 19 16.47 8.03 20.03 44.52 77.808 "ECONOMIA AZIENDALE"
F 19 17.35 19.59 19.59 56.52 77.808 "ECONOMIA GEST. SERV. TURISTICI"
F 19 16 17.35 18.68 52.03 77.812 "MARKETING E GEST. IMPRESE"
F 19 15.13 16.92 23.13 55.19 77.876 "ECONOMIA E FINANZA"
F 19 19.13 26.68 27.56 73.37 77.948 "MARKETING E GEST. IMPRESE"
M 19 26.68 20.03 28.45 75.16 78.064 "ECONOMIA AZIENDALE"
M 19 20.92 12.04 18.25 51.21 78.084 "ECONOMIA E FINANZA"
F 19 18.24 15.59 24.91 58.73 78.092 "ECONOMIA E FINANZA"
M 19 26.68 29.79 24.91 81.37 78.148 ECONOMIA
F 19 17.79 17.8 17.35 52.93 78.172 "CONSULENZA AZ.LE E GIURIDICA"
F 19 21.8 1.84 21.8 45.44 78.176 "ECONOMIA AZIENDALE"
F 19 10.72 17.37 17.37 45.47 78.188 "MARKETING E GEST. IMPRESE"
M 20 31.56 26.68 5.33 63.57 78.228 "MARKETING E GEST. IMPRESE"
F 19 24.01 23.57 23.57 71.16 78.264 "MARKETING E GEST. IMPRESE"
M 19 27.56 25.35 24.45 77.36 78.344 ECONOMIA
F 19 14.69 17.36 13.81 45.87 78.348 "MARKETING E GEST. IMPRESE"
M 19 17.81 8.51 19.59 45.91 78.364 "AMMINISTRAZIONE E CONTROLLO"
F 23 13.35 17.37 15.59 46.31 78.524 "ECONOMIA GEST. SERV. TURISTICI"
M 19 21.8 19.13 22.24 63.17 78.668 "ECONOMIA AZIENDALE"
F 19 27.12 16.01 23.13 66.27 78.708 "AMMINISTRAZIONE E CONTROLLO"
F 19 24.47 20.92 22.69 68.08 78.832 "ECONOMIA AZIENDALE"
F 19 9.36 20.03 17.8 47.19 78.876 "MARKETING E GEST. IMPRESE"
M 19 25.35 19.57 9.81 54.73 78.892 "MARKETING E GEST. IMPRESE"
M 19 20.47 20.91 20.91 62.28 78.912 "ECONOMIA AZIENDALE"
F 19 7.17 24.91 18.25 50.33 78.932 "MARKETING E GEST. IMPRESE"
M 19 28.01 15.13 26.68 69.83 78.932 "MARKETING E GEST. IMPRESE"
M 19 29.79 24.47 26.24 80.49 78.996 "ECONOMIA GEST. SERV. TURISTICI"
F 20 13.33 20.89 13.33 47.56 79.024 "ECONOMIA GEST. SERV. TURISTICI"
M 19 22.24 11.13 14.69 48.07 79.228 "ECONOMIA AZIENDALE"
F 19 15.13 18.69 26.24 60.07 79.228 "ECONOMIA AZIENDALE"
F 19 22.69 23.13 24.91 70.73 79.292 "ECONOMIA AZIENDALE"
M 19 33.33 24.47 28.01 85.81 79.324 "ECONOMIA AZIENDALE"
F 19 24.45 16.47 28.45 69.37 79.348 "MARKETING E GEST. IMPRESE"
M 20 23.13 11.12 14.24 48.49 79.396 "MARKETING E GEST. IMPRESE"
F 20 21.79 16.48 22.23 60.49 79.396 ECONOMIA
F 19 17.36 15.15 20.91 53.41 79.564 "AMMINISTRAZIONE E CONTROLLO"
F 19 24.47 13.37 11.13 48.97 79.588 "CONSULENZA AZ.LE E GIURIDICA"
F 19 18.69 13.37 24.47 56.53 79.612 "CONSULENZA AZ.LE E GIURIDICA"
F 22 15.56 13.35 23.12 52.03 79.612 "MARKETING E GEST. IMPRESE"
F 19 20.47 19.57 19.59 59.63 79.652 "CONSULENZA AZ.LE E GIURIDICA"
F 19 21.35 17.8 14.69 53.84 79.736 "AMMINISTRAZIONE E CONTROLLO"
F 19 26.24 14.71 28.01 68.96 79.784 "MARKETING E GEST. IMPRESE"
F 20 20 15.57 24.45 60.03 79.812 "ECONOMIA AZIENDALE"
M 20 20.89 14.69 24.45 60.04 79.816 "ECONOMIA AZIENDALE"
F 19 23.13 22.69 26.24 72.07 79.828 "MARKETING E GEST. IMPRESE"
M 19 22.69 17.35 21.79 61.83 79.932 "ECONOMIA AZIENDALE"
F 19 23.57 15.6 22.69 61.87 79.948 "MARKETING E GEST. IMPRESE"
F 19 18.24 13.37 18.25 49.87 79.948 "ECONOMIA AZIENDALE"
M 19 30.67 22.68 17.79 71.13 80.052 "ECONOMIA E FINANZA"
F 19 25.35 25.35 20.47 71.16 80.064 "CONSULENZA AZ.LE E GIURIDICA"
M 19 26.24 11.6 23.13 60.97 80.188 "ECONOMIA E FINANZA"
F 18 16.45 22.24 17.79 56.48 80.192 "ECONOMIA AZIENDALE"
M 20 27.12 11.59 27.12 65.83 80.332 ECONOMIA
M 19 19.13 11.59 20.47 51.19 80.476 ECONOMIA
F 19 19.57 24.45 20.91 64.93 80.572 "MARKETING E GEST. IMPRESE"
F 19 17.8 20.47 20.91 59.17 80.668 "MARKETING E GEST. IMPRESE"
M 21 24.89 16.92 24.91 66.72 80.688 "ECONOMIA E FINANZA"
M 19 25.35 23.13 21.36 69.84 80.736 "MARKETING E GEST. IMPRESE"
M 19 28.01 26.24 26.24 80.49 80.796 ECONOMIA
F 19 16.92 12.92 22.24 52.08 80.832 "ECONOMIA E FINANZA"
F 19 21.33 12.91 20.89 55.13 80.852 "CONSULENZA AZ.LE E GIURIDICA"
M 20 27.56 21.36 26.24 75.16 81.064 "ECONOMIA AZIENDALE"
M 19 20.01 16.45 22.24 58.71 81.084 "MARKETING E GEST. IMPRESE"
M 19 28.45 17.35 22.24 68.04 81.216 "MARKETING E GEST. IMPRESE"
F 19 20.01 17.79 15.56 53.36 81.344 "MARKETING E GEST. IMPRESE"
F 20 16.91 14.68 21.8 53.39 81.356 "AMMINISTRAZIONE E CONTROLLO"
F 19 23.57 28.45 24.01 76.04 81.416 "ECONOMIA AZIENDALE"
M 19 20.89 28.45 17.79 67.13 81.452 "ECONOMIA AZIENDALE"
M 19 20.89 28.45 17.79 67.13 81.452 "ECONOMIA GEST. SERV. TURISTICI"
F 21 22.67 9.8 21.35 53.81 81.524 "ECONOMIA E FINANZA"
F 19 30.23 10.68 28.45 69.36 81.744 "AMMINISTRAZIONE E CONTROLLO"
F 19 24.89 19.57 20.45 64.92 81.768 "ECONOMIA AZIENDALE"
F 19 17.79 31.56 5.37 54.72 81.888 "ECONOMIA E FINANZA"
F 19 12.89 22.23 20.01 55.13 82.052 "MARKETING E GEST. IMPRESE"
F 19 16.03 22.24 23.12 61.39 82.156 ECONOMIA
M 19 30.23 28 22.68 80.91 82.164 "ECONOMIA AZIENDALE"
F 19 16.91 19.15 19.59 55.64 82.256 "ECONOMIA GEST. SERV. TURISTICI"
M 26 27.12 16.92 19.12 63.16 82.264 "ECONOMIA E FINANZA"
F 22 28.45 21.8 16.04 66.29 82.316 "ECONOMIA GEST. SERV. TURISTICI"
F 19 23.13 15.59 23.12 61.84 82.336 "CONSULENZA AZ.LE E GIURIDICA"
F 19 29.79 24.47 24.47 78.72 82.488 "AMMINISTRAZIONE E CONTROLLO"
F 19 31.56 20.03 22.69 74.28 82.512 ECONOMIA
F 20 22.24 19.59 28.01 69.84 82.536 ECONOMIA
M 19 21.79 24.91 21.79 68.48 82.592 "ECONOMIA AZIENDALE"
F 19 15.12 17.8 23.56 56.48 82.592 ECONOMIA
F 19 25.79 24.91 25.35 76.04 82.616 "ECONOMIA AZIENDALE"
F 19 23.12 31.56 24.45 79.13 82.652 "ECONOMIA E FINANZA"
F 19 23.12 8.45 25.35 56.92 82.768 "ECONOMIA AZIENDALE"
M 19 25.35 23.13 16.48 64.96 82.984 "ECONOMIA E FINANZA"
M 19 31.56 16.04 24.89 72.49 82.996 "ECONOMIA E FINANZA"
F 19 24.91 18.68 24.45 68.04 83.016 "MARKETING E GEST. IMPRESE"
F 19 24.89 10.67 26.67 62.23 83.092 "ECONOMIA AZIENDALE"
F 19 23.12 11.59 23.13 57.84 83.136 "MARKETING E GEST. IMPRESE"
F 19 20.03 18.25 19.59 57.87 83.148 "CONSULENZA AZ.LE E GIURIDICA"
F 22 26.68 17.37 24.47 68.52 83.208 "ECONOMIA GEST. SERV. TURISTICI"
F 19 24.47 20.92 19.15 64.53 83.412 "MARKETING E GEST. IMPRESE"
F 19 24.47 20.92 19.15 64.53 83.412 "ECONOMIA GEST. SERV. TURISTICI"
F 19 19.57 16.48 22.68 58.73 83.492 "CONSULENZA AZ.LE E GIURIDICA"
F 19 21.35 19.13 18.25 58.73 83.492 "ECONOMIA AZIENDALE"
F 19 21.35 16.04 21.35 58.73 83.492 "MARKETING E GEST. IMPRESE"
F 19 28.45 26.24 29.79 84.48 83.592 "ECONOMIA AZIENDALE"
F 19 20.89 20.91 20.91 62.71 83.884 "CONSULENZA AZ.LE E GIURIDICA"
F 19 27.12 20.92 26.68 74.72 83.888 "ECONOMIA AZIENDALE"
F 19 19.15 20.92 22.69 62.76 83.904 "CONSULENZA AZ.LE E GIURIDICA"
F 19 19.56 22.69 18.24 60.49 84.196 "ECONOMIA GEST. SERV. TURISTICI"
M 19 21.36 19.59 19.59 60.53 84.212 "ECONOMIA E FINANZA"
F 26 18.23 24.01 25.79 68.03 84.212 "MARKETING E GEST. IMPRESE"
F 19 23.57 10.72 26.68 60.97 84.388 "CONSULENZA AZ.LE E GIURIDICA"
F 19 26.68 23.13 26.23 76.04 84.416 "ECONOMIA E FINANZA"
F 19 27.12 19.15 15.15 61.41 84.564 "CONSULENZA AZ.LE E GIURIDICA"
